Date,NAV,Change,Fund Name,AMC Name,Launch Date,AUM (Crore),TER (%),Return (%),YTM (%),1W (%),1M (%),3M (%),6M (%),YTD (%),1Y (%),2Y (%),3Y (%),5Y (%),1W_Rank_Out_Of_12,1M_Rank_Out_Of_12,3M_Rank_Out_Of_12,6M_Rank_Out_Of_12,YTD_Rank_Out_Of_12,1Y_Rank_Out_Of_12,2Y_Rank_Out_Of_12,3Y_Rank_Out_Of_12,5Y_Rank_Out_Of_8,Standard Deviation,Beta,Sharpe Ratio,Jension's Alpha,Treynor's Ratio,1Y,2Y,3Y,5Y,% Debt Holding,No of debt holdings,% Cash Holding
22-05-2024,1401.8328,0.5,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
21-05-2024,1401.3351,1.4,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
17-05-2024,1399.7665,0.4,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
16-05-2024,1399.3625,0.53,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
15-05-2024,1398.83,0.65,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
14-05-2024,1398.1833,0.88,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
13-05-2024,1397.3011,0.43,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
10-05-2024,1396.8754,0.07,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
09-05-2024,1396.8004,0.13,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
08-05-2024,1396.6752,0.11,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
07-05-2024,1396.5644,-0.3,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
06-05-2024,1396.8604,1.04,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
03-05-2024,1395.8241,0.09,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
02-05-2024,1395.7307,0.22,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
30-04-2024,1395.509,0.31,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
29-04-2024,1395.1967,0.94,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
26-04-2024,1394.2604,-0.03,Kotak Floating Rate Fund Direct - Growth,KotakMF,14-05-2019,2960.37,0.26,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4,0.65,0.63,3.54,1.32,0.04,0.0457,0.0932,0.1395,0.2159,0.9768,32,0.0232
