Date,NAV,Change,Change(%),Fund Name,Plan,AMC Name,Launch Date,AUM (Crore),TER (%),Invested Amount,Current Value,Return (%),YTM,1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,1W_Rank_Out_Of_12,1M_Rank_Out_Of_12,3M_Rank_Out_Of_12,6M_Rank_Out_Of_12,YTD_Rank_Out_Of_12,1Y_Rank_Out_Of_12,2Y_Rank_Out_Of_12,3Y_Rank_Out_Of_12,5Y_Rank_Out_Of_8
2023-10-10,1337.2883,-0.11,-0.01,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-10-09,1337.3972,0.27,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-10-06,1337.1243,-0.6969,-0.08,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-10-05,1338.1617,0.48,0.04,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-10-04,1337.6811,0.27,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-10-03,1337.4146,0.84,0.06,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-30,1336.5758,0.25,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-29,1336.3218,0.55,0.04,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-28,1335.7716,-0.08,-0.01,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
2023-09-27,1335.8487,0.33,0.02,Kotak Floating Rate Fund Direct - Growth,Direct Plan,KotakMF,2019-05-14,2960.37,0.26,600000,725785,7.77,7.14,0.17,0.58,1.76,4.18,7.87,8.7,8.75,8.3,6.76,6,9,7,2,1,3,4,5,4
